id,rating,Reviews
1,5,"Paperwhite voyage, no regrets!"
2,5,One Simply Could Not Ask For More
3,4,Great for those that just want an e-reader
4,5,Love / Hate relationship
5,5,I LOVE IT
6,,Great device for reading. 8 people found this helpful. Was this review helpful to you Yes No
7,,One Simply Could Not Ask For More 28 people found this helpful. Was this review helpful to you Yes No
8,,Definitely better than the previous generation 16 people found this helpful. Was this review helpful to you Yes No
9,,"Paperwhite voyage, no regrets! 16 people found this helpful. Was this review helpful to you Yes No"
10,,Great for those that just want an e-reader 19 people found this helpful. Was this review helpful to you Yes No
11,,Give this to a book-loving-new-mommy-who-breastfeeds 34 people found this helpful. Was this review helpful to you Yes No
12,,"Trouble-free international shipping, and easy to convert ePub 9 people found this helpful. Was this review helpful to you Yes No"
13,,Great for those that just want an e-reader 18 people found this helpful. Was this review helpful to you Yes No
14,4,Liked the smaller size
15,5,Superb reading device - but which one's best for you
16,5,I love it!
17,4,Un plaisir
18,5,Works great and I love the built-in light
19,4,Trs utile
20,4,I had a Kindle before found it very easy to find what I needed to do
21,5,Seamless Reasing Experience
22,5,A great addition to the Kindle range
23,5,great kindle
24,,"Worth the money. Not perfect, but very very good for start to finish novels in good light"
25,,"I Wanted a Dedicated E-Reader, and That's What I Got"
26,,Kindle vs. Nook (updated)
27,,"I Wanted a Dedicated E-Reader, and That's What I Got"
28,,"Not the perfect do-it-all device, but very close to being the perfect e-reading device!"
29,,"I Wanted a Dedicated E-Reader, and That's What I Got 3,102 of 3,177 people found this helpful. Was this review helpful to you Yes No"
30,,"Kindle vs. Nook (updated) 31,840 of 32,278 people found this helpful. Was this review helpful to you Yes No"
31,,"Kindle vs. Nook (updated) 31,837 of 32,275 people found this helpful. Was this review helpful to you Yes No"
32,,"Kindle vs. Nook (updated) 31,839 of 32,277 people found this helpful. Was this review helpful to you Yes No"
33,,"I Wanted a Dedicated E-Reader, and That's What I Got 3,103 of 3,178 people found this helpful. Was this review helpful to you Yes No"
34,,"Worth the money. Not perfect, but very very good for start to finish novels in good light 11,952 of 12,233 people found this helpful. Was this review helpful to you Yes No"
35,,"I Wanted a Dedicated E-Reader, and That's What I Got 3,105 of 3,180 people found this helpful. Was this review helpful to you Yes No"
36,,"Worth the money. Not perfect, but very very good for start to finish novels in good light"
37,,Kindle vs. Nook (updated)
38,,"Not the perfect do-it-all device, but very close to being the perfect e-reading device!"
39,,Great
40,,I've had 3!
41,,Kindle Customer Service vs. Comcast
42,,I love it
43,,A hesistant buyer rejoices on his choice
44,,Ruined my marriage
45,,Not a long-lasting product!
46,,Good device
47,,Great
48,,Do I need to say anything more?
49,,Great Service
50,4,"I Wanted a Dedicated E-Reader, and That's What I Got 3,129 people found this helpful. Was this review helpful to you Yes No"
51,5,"Kindle vs. Nook (updated) 31,885 people found this helpful. Was this review helpful to you Yes No"
52,3,"Worth the money. Not perfect, but very very good for start to finish novels in good light 11,975 people found this helpful. Was this review helpful to you Yes No"
53,3,"Worth the money. Not perfect, but very very good for start to finish novels in good light 11,965 people found this helpful. Was this review helpful to you Yes No"
54,4,"I Wanted a Dedicated E-Reader, and That's What I Got 3,120 people found this helpful. Was this review helpful to you Yes No"
55,5,"Kindle vs. Nook (updated) 31,863 people found this helpful. Was this review helpful to you Yes No"
56,,Works great with one critical flaw. (significantly improved)
57,,"A review from a non-techie 11,059 people found this helpful. Was this review helpful to you Yes No"
58,,"I like it Amazon...But this is IMPORTANT 5,859 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
59,4,"Works great with one critical flaw. (significantly improved) 7,382 people found this helpful. Was this review helpful to you Yes No"
60,,"A review from a non-techie 11,064 people found this helpful. Was this review helpful to you Yes No"
61,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,764 people found this helpful. Was this review helpful to you Yes No"
62,4,"Works great with one critical flaw. (significantly improved) 7,380 people found this helpful. Was this review helpful to you Yes No"
63,,"A review from a non-techie 11,061 people found this helpful. Was this review helpful to you Yes No"
64,5,"A review from a non-techie 11,064 people found this helpful. Was this review helpful to you Yes No"
65,,"I like it Amazon...But this is IMPORTANT 5,860 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
66,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,757 people found this helpful. Was this review helpful to you Yes No"
67,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,754 people found this helpful. Was this review helpful to you Yes No"
68,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,760 people found this helpful. Was this review helpful to you Yes No"
69,4,"I like it Amazon...But this is IMPORTANT 5,863 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
70,,"Works great with one critical flaw. (significantly improved) 7,379 people found this helpful. Was this review helpful to you Yes No"
71,,This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO!
72,,"A review from a non-techie 11,058 people found this helpful. Was this review helpful to you Yes No"
73,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,755 people found this helpful. Was this review helpful to you Yes No"
74,,"I like it Amazon...But this is IMPORTANT 5,861 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
75,,I like it Amazon...But this is IMPORTANTAn Amazon.com official commented on this review
76,,"A review from a non-techie 11,063 people found this helpful. Was this review helpful to you Yes No"
77,,A review from a non-techie
78,,"A review from a non-techie 11,062 people found this helpful. Was this review helpful to you Yes No"
79,5,"A review from a non-techie 11,065 people found this helpful. Was this review helpful to you Yes No"
80,,"Works great with one critical flaw. (significantly improved) 7,380 people found this helpful. Was this review helpful to you Yes No"
81,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,759 people found this helpful. Was this review helpful to you Yes No"
82,4,"I like it Amazon...But this is IMPORTANT 5,861 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
83,,"I like it Amazon...But this is IMPORTANT 5,859 of 6,307 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
84,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,752 people found this helpful. Was this review helpful to you Yes No"
85,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,759 people found this helpful. Was this review helpful to you Yes No"
86,,"Works great with one critical flaw. (significantly improved) 7,377 people found this helpful. Was this review helpful to you Yes No"
87,4,"I like it Amazon...But this is IMPORTANT 5,862 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review"
88,,"A review from a non-techie 11,054 of 11,528 people found this helpful. Was this review helpful to you Yes No"
89,5,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,762 people found this helpful. Was this review helpful to you Yes No"
90,,"Works great with one critical flaw. (significantly improved) 7,377 of 7,844 people found this helpful. Was this review helpful to you Yes No"
91,,"This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO! 26,748 of 27,899 people found this helpful. Was this review helpful to you Yes No"
92,,Works great with one critical flaw. (significantly improved)
93,,This box is a GAME CHANGER for on demand content! Amazon knocked it out of the park. Refreshed UPDATED with Tips! and HBO GO!
94,5,Great upgrade for aesthetics
95,5,The Extra Touch
96,4,Great case with minor design flaws
97,5,"Major fan, didn't buy this because of protection, ..."
98,3,Not all fabric or cloth.
99,5,She loves it
100,5,Great pop of color for a bland looking product!
101,5,Great look for Dot.
102,5,This is perfect. A lot of people were commenting that the ...
103,5,Great upgrade for aesthetics
104,4,Updated review (after 2 months)...
105,5,Provides Excellent protection for my new tap that is out and about with me as we speak!!!
106,5,I also own a Echo and if you own a Echo you will love the Tap
107,3,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,"
108,4,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,"
109,1,Dead after 15 months
110,3,Not everything I expected...
111,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,180 of 5,413 people found this helpful. Was this review helpful to you Yes No"
112,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,185 people found this helpful. Was this review helpful to you Yes No"
113,,KF HDX 8.9 is ok do homework on Prime download before you buy
114,3,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,291 people found this helpful. Was this review helpful to you Yes No"
115,,An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though
116,3,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,293 people found this helpful. Was this review helpful to you Yes No"
117,4,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,194 people found this helpful. Was this review helpful to you Yes No"
118,4,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,192 people found this helpful. Was this review helpful to you Yes No"
119,,"Rocks! Power Adapter included, Prime download clarification"
120,,"Rocks! Power Adapter included, Prime download clarification 4,738 of 4,931 people found this helpful. Was this review helpful to you Yes No"
121,,"Rocks! Power Adapter included, Prime download clarification 4,748 people found this helpful. Was this review helpful to you Yes No"
122,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,173 of 5,405 people found this helpful. Was this review helpful to you Yes No"
123,5,"Rocks! Power Adapter included, Prime download clarification 4,749 people found this helpful. Was this review helpful to you Yes No"
124,4,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,189 people found this helpful. Was this review helpful to you Yes No"
125,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,276 of 8,580 people found this helpful. Was this review helpful to you Yes No"
126,,"Rocks! Power Adapter included, Prime download clarification 4,743 of 4,936 people found this helpful. Was this review helpful to you Yes No"
127,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,176 of 5,408 people found this helpful. Was this review helpful to you Yes No"
128,,"Rocks! Power Adapter included, Prime download clarification 4,749 people found this helpful. Was this review helpful to you Yes No"
129,3,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,292 people found this helpful. Was this review helpful to you Yes No"
130,5,"Rocks! Power Adapter included, Prime download clarification 4,750 people found this helpful. Was this review helpful to you Yes No"
131,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,268 of 8,572 people found this helpful. Was this review helpful to you Yes No"
132,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,186 people found this helpful. Was this review helpful to you Yes No"
133,3,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,289 people found this helpful. Was this review helpful to you Yes No"
134,,"Rocks! Power Adapter included, Prime download clarification 4,741 of 4,934 people found this helpful. Was this review helpful to you Yes No"
135,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,287 people found this helpful. Was this review helpful to you Yes No"
136,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,273 of 8,578 people found this helpful. Was this review helpful to you Yes No"
137,3,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,294 people found this helpful. Was this review helpful to you Yes No"
138,4,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,191 people found this helpful. Was this review helpful to you Yes No"
139,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,187 people found this helpful. Was this review helpful to you Yes No"
140,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,286 people found this helpful. Was this review helpful to you Yes No"
141,,"Rocks! Power Adapter included, Prime download clarification 4,745 of 4,938 people found this helpful. Was this review helpful to you Yes No"
142,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,289 people found this helpful. Was this review helpful to you Yes No"
143,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,270 of 8,575 people found this helpful. Was this review helpful to you Yes No"
144,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,178 of 5,411 people found this helpful. Was this review helpful to you Yes No"
145,,"Rocks! Power Adapter included, Prime download clarification"
146,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,284 people found this helpful. Was this review helpful to you Yes No"
147,,"KF HDX 8.9 is ok do homework on Prime download before you buy 8,285 people found this helpful. Was this review helpful to you Yes No"
148,,"An enlarged version of the 7 HDX - Same good internal components with a nicer screen- still a battery hog though 5,189 people found this helpful. Was this review helpful to you Yes No"
149,,"Rocks! Power Adapter included, Prime download clarification"
150,5,Great upgrade for aesthetics
151,5,The Extra Touch
152,4,Great case with minor design flaws
153,5,"Major fan, didn't buy this because of protection, ..."
154,3,Not all fabric or cloth.
155,5,She loves it
156,5,Great pop of color for a bland looking product!
157,5,Great look for Dot.
158,5,This is perfect. A lot of people were commenting that the ...
159,5,Great upgrade for aesthetics
160,4,Updated review (after 2 months)...
161,5,Provides Excellent protection for my new tap that is out and about with me as we speak!!!
162,5,I also own a Echo and if you own a Echo you will love the Tap
163,5,Great upgrade for aesthetics
164,5,The Extra Touch
165,4,Great case with minor design flaws
166,5,"Major fan, didn't buy this because of protection, ..."
167,3,Not all fabric or cloth.
168,5,She loves it
169,5,Great pop of color for a bland looking product!
170,5,Great look for Dot.
171,2,Great controller with 2 major problems! Not recommended at this point in time...
172,3,Save your batteries by keeping remote in another room when not in use
173,5,Makes games fun.
174,5,Works great though and I know I can return if it ...
175,5,Great Controller
176,4,Does indeed work with Shield TV :-)
177,5,Great Game Controller for Fire TV
178,5,"A great upgrade for me from an older Kindle Fire! 3,"
179,5,"Detailed review of the Fire HD 7 - A great entry-level tablet at a great price! 1,"
180,5,fire in the kitchen
181,5,"Great Value for 139 2,"
182,2,Great controller with 2 major problems! Not recommended at this point in time...
183,3,Save your batteries by keeping remote in another room when not in use
184,5,Great Controller
185,5,Works great though and I know I can return if it ...
186,5,Great Game Controller for Fire TV
187,5,and was a great surprise for the gamers in the family One person found this helpful. Was this review helpful to you Yes No
188,1,This needs to be way better for the amount I spent on it.
189,4,Great add-on if you own a amazon fire stick and ...
190,5,Makes games fun.
191,5,Five Stars
192,3,Doesn't respond to FireTV
193,4,Updated review (after 2 months)...
194,5,Provides Excellent protection for my new tap that is out and about with me as we speak!!!
195,5,I also own a Echo and if you own a Echo you will love the Tap
196,4,Updated review (after 2 months)...
197,5,Provides Excellent protection for my new tap that is out and about with me as we speak!!!
198,5,I also own a Echo and if you own a Echo you will love the Tap
199,5,"Detailed Review of the Kindle 10,"
200,5,"Know what you are buying!!!! 16,"
201,4,"Good Value at 79 with a Few Nits 5,"
202,,Know what you are buying!!!!
203,,Detailed Review of the Kindle
204,,Good Value at 79 with a Few Nits
205,4,Updated review (after 2 months)...
206,5,Provides Excellent protection for my new tap that is out and about with me as we speak!!!
207,5,I also own a Echo and if you own a Echo you will love the Tap
208,5,Honest Kindle Review
